Entity,Code,Year,Annual plastic production between 1950 and 2019,p
World,OWID_WRL,50s,39000000,1
World,OWID_WRL,60s,175000000,4
World,OWID_WRL,60s,175000000,4
World,OWID_WRL,60s,175000000,4
World,OWID_WRL,60s,175000000,4
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,70s,462000000,11
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,80s,895000000,22
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,90s,1558000000,39
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,00s,2566000000,65
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
World,OWID_WRL,10s,3797000000,97
